"MLE","MEAN","BBRC"
172.812454,4500.681691,1.989634
228.518171,4446.877123,3.130424
214.846852,1228.488723,4.435237
233.750266,991.964845,2.507583
669.184172,1142.335677,2.380378
473.985656,571.216432,2.428
615.39678,503.753133,2.405995
691.642296,307.900165,4.604053
941.773525,369.898479,2.664903
723.410204,192.38644,3.732205
679.702266,163.854663,7.444703
600.456548,160.552182,7.051682
553.388761,204.852538,6.526758
854.554709,194.630834,2.382088
998.950579,159.725121,7.480256
963.33439,178.428901,1.988046
715.210787,196.947429,7.311515
1005.641168,178.769825,2.486202
869.334644,208.000044,11.507086
624.472413,172.296026,2.004421
917.271918,181.24029,2.037878
947.662203,196.874635,16.123859
1007.228114,179.43253,9.338162
1066.821043,179.353064,1.994137
1246.587084,155.452335,2.74861
746.782685,187.698027,7.197771
935.917956,197.368922,7.058109
949.07492,219.769043,7.786311
733.9596,216.318003,13.1952
1008.670967,231.989349,2.494926
767.273349,219.755947,7.35245
702.381106,224.109498,3.626336
834.543023,259.692122,3.088249
1227.032316,194.566226,2.297979
1346.948723,188.303845,7.256386
1100.225579,201.687786,2.353118
1187.461787,183.935311,7.059357
1065.786482,232.50046,2.34389
692.300824,227.77891,7.36249
1160.176254,212.767837,3.495941
1351.43645,200.770733,2.085917
1156.751195,369.337896,10.331606
1143.987335,423.207933,10.109257
1147.479677,366.134759,2.524297
1219.79597,303.85663,2.81307
732.987515,248.538301,2.498565
1250.055453,222.75186,7.04327
1150.052546,262.831283,2.881195
1443.044559,262.260337,2.059999
1252.579965,280.475097,2.437371
1309.087484,318.916417,2.413313
717.858557,392.582886,2.227196
698.066901,296.239856,8.713114
995.417764,274.867825,2.870666
1328.088955,230.836522,2.059042
1460.410224,244.437026,2.057428
1299.070236,224.64562,6.85624
1289.352044,263.923151,2.373147
669.908111,269.327531,7.080365
2060.148794,431.887844,2.142062
382.263046,334.801296,1.996216
733.212397,413.679039,2.230483
745.563668,377.108188,2.53764
647.157527,339.524131,2.396404
593.13982,240.919543,2.950445
702.131781,240.634558,2.001105
886.689144,237.138259,1.963302
665.917818,461.040987,2.128183
873.914999,778.808102,2.45149
1280.899698,599.304262,2.054314
887.051469,700.018933,2.587435
406.129094,1000.979499,2.417153
1060.212163,1267.20714,2.773193
1336.313371,904.996809,2.08976
1532.414805,583.126759,2.659978
1638.190373,1629.854121,2.088003
1537.495104,1335.61217,1.988773
1431.615014,1165.570512,2.088378
1079.292699,1682.139007,2.137477
1174.218074,1089.75315,2.028499
1634.843864,1616.762855,2.562227
1472.790092,1673.383392,2.463153
1541.430175,1464.670607,3.342755
1494.927071,730.199674,1.955962
1007.595474,1610.668203,2.023379
1246.491422,1037.913628,2.442434
1488.681218,1487.146993,2.018373
1382.795541,566.406918,2.051139
1432.160687,397.41399,2.075091
1421.147809,312.325954,2.02836
1055.857464,801.078858,2.017562
1233.609457,781.841046,2.36669
1591.423268,527.056821,2.037447
1490.533857,626.181831,2.058783
1391.359654,839.124564,1.974789
1190.361524,758.448658,2.323636
1240.960121,680.230649,2.380403
1177.85413,690.068771,2.387325
1562.721694,515.17069,2.040219
1595.21778,364.125188,3.493801
